age,education,relationship,sex,race,income
33,HS-grad,Not-in-family,Male,White,>50K
52,11th,Unmarried,Male,White,<=50K
54,Some-college,Husband,Male,White,>50K
40,Bachelors,Own-child,Male,Other,<=50K
29,Bachelors,Not-in-family,Female,Black,<=50K
18,11th,Other-relative,Male,White,<=50K
53,HS-grad,Husband,Male,Black,<=50K
41,Some-college,Not-in-family,Male,White,<=50K
24,HS-grad,Wife,Female,White,<=50K
44,Some-college,Husband,Male,White,>50K
21,Some-college,Not-in-family,Female,White,<=50K
34,Doctorate,Wife,Female,White,>50K
57,HS-grad,Unmarried,Female,White,<=50K
46,Masters,Husband,Male,White,>50K
44,Masters,Husband,Male,White,>50K
36,Bachelors,Husband,Male,White,>50K
44,Masters,Husband,Male,Black,>50K
18,HS-grad,Own-child,Male,White,<=50K
54,1st-4th,Husband,Male,Black,>50K
24,11th,Not-in-family,Female,Black,<=50K
56,Masters,Unmarried,Female,White,<=50K
41,Assoc-acdm,Husband,Male,White,>50K
48,Doctorate,Husband,Male,White,>50K
26,HS-grad,Not-in-family,Male,White,<=50K
48,Some-college,Not-in-family,Male,White,<=50K
19,HS-grad,Own-child,Male,White,<=50K
38,Some-college,Unmarried,Female,White,<=50K
58,Masters,Not-in-family,Female,White,>50K
41,Masters,Not-in-family,Female,Black,<=50K
27,HS-grad,Unmarried,Female,White,<=50K
42,HS-grad,Husband,Male,White,>50K
23,Bachelors,Own-child,Female,White,<=50K
30,Some-college,Unmarried,Female,White,<=50K
66,Bachelors,Husband,Male,White,>50K
38,HS-grad,Husband,Male,White,>50K
57,Masters,Not-in-family,Male,White,>50K
22,Assoc-acdm,Unmarried,Female,White,<=50K
55,Masters,Husband,Male,White,>50K
36,Bachelors,Husband,Male,White,>50K
47,Bachelors,Not-in-family,Male,Black,>50K
33,Bachelors,Not-in-family,Male,White,<=50K
27,HS-grad,Not-in-family,Male,White,<=50K
29,Assoc-acdm,Not-in-family,Female,White,<=50K
37,Masters,Husband,Male,White,>50K
46,Some-college,Husband,Male,White,>50K
52,Bachelors,Husband,Male,White,>50K
31,Assoc-voc,Own-child,Male,Black,<=50K
29,Bachelors,Not-in-family,Male,White,>50K
23,Bachelors,Own-child,Female,White,<=50K
39,Assoc-voc,Husband,Male,White,>50K
28,Bachelors,Husband,Male,White,>50K
54,Bachelors,Husband,Male,White,>50K
20,Some-college,Own-child,Male,White,<=50K
36,Bachelors,Husband,Male,White,<=50K
31,9th,Husband,Male,White,<=50K
67,Bachelors,Husband,Male,White,<=50K
25,Some-college,Own-child,Male,White,<=50K
47,Bachelors,Own-child,Male,White,>50K
52,Prof-school,Husband,Male,White,>50K
45,11th,Not-in-family,Male,White,>50K
29,Some-college,Wife,Female,White,>50K
38,Bachelors,Husband,Male,White,>50K
33,Masters,Unmarried,Male,White,<=50K
60,7th-8th,Not-in-family,Male,White,<=50K
46,HS-grad,Unmarried,Female,White,<=50K
50,HS-grad,Husband,Male,White,>50K
32,Masters,Husband,Male,White,>50K
34,HS-grad,Unmarried,Female,White,<=50K
21,Some-college,Own-child,Female,White,<=50K
54,HS-grad,Husband,Male,White,>50K
56,HS-grad,Husband,Male,White,>50K
50,Bachelors,Husband,Male,White,>50K
32,HS-grad,Not-in-family,Female,White,<=50K
51,HS-grad,Husband,Male,White,>50K
18,10th,Other-relative,Female,White,<=50K
26,Bachelors,Own-child,Female,White,<=50K
24,HS-grad,Unmarried,Male,White,<=50K
54,Bachelors,Not-in-family,Female,White,>50K
36,Assoc-acdm,Not-in-family,Male,White,<=50K
24,Some-college,Not-in-family,Male,Asian-Pac-Islander,>50K
50,Some-college,Husband,Male,White,>50K
34,Some-college,Husband,Male,White,<=50K
69,Bachelors,Husband,Male,White,>50K
38,Some-college,Husband,Male,White,>50K
31,HS-grad,Husband,Male,White,>50K
68,HS-grad,Husband,Male,White,<=50K
66,Bachelors,Husband,Male,White,>50K
56,Assoc-voc,Husband,Male,White,>50K
52,7th-8th,Wife,Female,White,<=50K
61,Some-college,Husband,Male,Black,>50K
39,9th,Husband,Male,White,<=50K
18,11th,Own-child,Female,White,<=50K
65,11th,Husband,Male,White,<=50K
62,HS-grad,Husband,Male,White,<=50K
32,HS-grad,Husband,Male,White,>50K
21,HS-grad,Own-child,Male,White,<=50K
36,Bachelors,Not-in-family,Female,White,<=50K
68,7th-8th,Not-in-family,Male,Black,<=50K
54,HS-grad,Husband,Male,White,>50K
50,Some-college,Not-in-family,Female,White,<=50K
36,HS-grad,Not-in-family,Male,White,<=50K
33,Bachelors,Husband,Male,Black,<=50K
52,Assoc-voc,Not-in-family,Female,White,<=50K
47,Bachelors,Husband,Male,White,>50K
39,Bachelors,Wife,Female,White,>50K
50,HS-grad,Husband,Male,White,>50K
43,Bachelors,Unmarried,Female,White,<=50K
27,Some-college,Wife,Female,White,>50K
44,Bachelors,Husband,Male,White,>50K
49,Bachelors,Not-in-family,Female,White,>50K
29,Assoc-acdm,Husband,Male,White,<=50K
37,Some-college,Husband,Male,White,>50K
58,Some-college,Husband,Male,White,>50K
56,Bachelors,Husband,Male,White,>50K
53,Bachelors,Husband,Male,White,>50K
43,Some-college,Husband,Male,White,>50K
59,Some-college,Other-relative,Female,White,>50K
48,Bachelors,Husband,Male,White,>50K
43,Some-college,Husband,Male,White,>50K
34,Bachelors,Husband,Male,White,>50K
34,Bachelors,Husband,Male,White,>50K
38,HS-grad,Husband,Male,White,<=50K
30,HS-grad,Husband,Male,White,>50K
18,10th,Own-child,Male,White,<=50K
59,Masters,Unmarried,Female,White,>50K
26,HS-grad,Unmarried,Male,Black,<=50K
20,HS-grad,Husband,Male,White,<=50K
21,HS-grad,Other-relative,Male,White,<=50K
58,Prof-school,Husband,Male,White,>50K
42,Bachelors,Husband,Male,White,>50K
27,HS-grad,Husband,Male,White,>50K
39,HS-grad,Husband,Male,White,<=50K
35,Bachelors,Wife,Female,White,>50K
37,Some-college,Not-in-family,Male,Black,<=50K
37,Bachelors,Not-in-family,Female,White,<=50K
64,HS-grad,Husband,Male,White,>50K
46,Bachelors,Own-child,Male,White,>50K
46,Some-college,Husband,Male,White,>50K
18,HS-grad,Own-child,Male,White,<=50K
25,Some-college,Husband,Male,White,>50K
43,Masters,Not-in-family,Female,White,<=50K
38,Masters,Husband,Male,White,>50K
60,Bachelors,Husband,Male,Asian-Pac-Islander,<=50K
70,HS-grad,Husband,Male,White,<=50K
37,Bachelors,Not-in-family,Female,White,>50K
74,Some-college,Husband,Male,White,>50K
60,Bachelors,Husband,Male,White,>50K
50,Some-college,Husband,Male,White,>50K
35,Some-college,Unmarried,Male,White,<=50K
33,Prof-school,Not-in-family,Male,White,>50K
51,HS-grad,Husband,Male,White,>50K
39,HS-grad,Not-in-family,Male,White,<=50K
39,Bachelors,Husband,Male,White,>50K
72,7th-8th,Not-in-family,Male,White,<=50K
21,Some-college,Own-child,Male,White,<=50K
46,Bachelors,Husband,Male,White,>50K
19,Assoc-acdm,Not-in-family,Female,White,<=50K
58,Masters,Husband,Male,Black,>50K
32,Bachelors,Own-child,Male,White,<=50K
18,11th,Own-child,Male,White,<=50K
19,HS-grad,Not-in-family,Male,White,<=50K
24,Some-college,Not-in-family,Female,White,<=50K
52,HS-grad,Husband,Male,White,>50K
46,Bachelors,Husband,Male,Black,>50K
43,Bachelors,Unmarried,Female,White,<=50K
50,Masters,Husband,Male,Black,>50K
41,Bachelors,Husband,Male,White,>50K
47,HS-grad,Husband,Male,White,>50K
38,Bachelors,Husband,Male,White,>50K
40,HS-grad,Husband,Male,White,<=50K
33,Masters,Wife,Female,White,>50K
38,Some-college,Husband,Male,Asian-Pac-Islander,>50K
35,Assoc-voc,Husband,Male,White,>50K
51,Some-college,Husband,Male,White,>50K
41,Masters,Husband,Male,White,>50K
42,Bachelors,Not-in-family,Female,White,<=50K
42,Bachelors,Husband,Male,White,>50K
43,Some-college,Unmarried,Female,White,<=50K
49,HS-grad,Husband,Male,White,<=50K
20,12th,Own-child,Male,White,<=50K
47,Assoc-acdm,Husband,Male,White,>50K
18,11th,Unmarried,Female,White,<=50K
48,HS-grad,Not-in-family,Male,White,<=50K
43,HS-grad,Unmarried,Female,White,<=50K
24,HS-grad,Not-in-family,Male,White,<=50K
41,Bachelors,Unmarried,Female,White,<=50K
43,Some-college,Husband,Male,White,<=50K
52,Assoc-voc,Husband,Male,White,>50K
59,Masters,Husband,Male,White,>50K
36,Bachelors,Husband,Male,White,>50K
47,Prof-school,Husband,Male,Asian-Pac-Islander,>50K
43,HS-grad,Wife,Female,White,>50K
49,HS-grad,Husband,Male,White,>50K
39,HS-grad,Husband,Male,White,>50K
53,Some-college,Husband,Male,White,>50K
34,10th,Unmarried,Female,Black,<=50K
29,Assoc-voc,Not-in-family,Male,Black,<=50K
50,Doctorate,Not-in-family,Female,White,>50K
31,Some-college,Not-in-family,Male,White,>50K
33,Bachelors,Husband,Male,White,<=50K
48,Some-college,Not-in-family,Female,White,<=50K
18,Some-college,Own-child,Female,White,<=50K
27,Some-college,Wife,Female,White,>50K
48,Some-college,Not-in-family,Male,White,>50K
57,Bachelors,Husband,Male,White,>50K
26,HS-grad,Husband,Male,White,<=50K
32,Prof-school,Husband,Male,White,>50K
17,11th,Own-child,Female,White,<=50K
28,Some-college,Own-child,Female,White,<=50K
18,Some-college,Own-child,Male,White,<=50K
63,HS-grad,Other-relative,Female,White,<=50K
67,Bachelors,Husband,Male,White,>50K
33,Some-college,Not-in-family,Male,White,<=50K
49,HS-grad,Wife,Female,Black,>50K
24,Bachelors,Unmarried,Male,White,>50K
55,HS-grad,Husband,Male,White,>50K
47,Some-college,Husband,Male,Black,>50K
35,Bachelors,Husband,Male,White,>50K
60,Some-college,Husband,Male,Other,>50K
53,Masters,Wife,Female,White,>50K
42,Bachelors,Husband,Male,White,>50K
56,Prof-school,Husband,Male,Asian-Pac-Islander,>50K
43,HS-grad,Own-child,Male,White,<=50K
21,Some-college,Not-in-family,Male,White,<=50K
52,HS-grad,Husband,Male,White,>50K
37,Some-college,Not-in-family,Female,White,<=50K
34,Some-college,Unmarried,Male,White,<=50K
26,HS-grad,Other-relative,Female,Black,<=50K
80,Prof-school,Husband,Male,White,>50K
44,HS-grad,Husband,Male,White,>50K
38,7th-8th,Unmarried,Female,Black,<=50K
61,10th,Husband,Male,White,<=50K
35,Assoc-acdm,Husband,Male,White,>50K
41,HS-grad,Husband,Male,White,>50K
36,9th,Own-child,Male,White,>50K
55,Some-college,Wife,Female,White,>50K
18,HS-grad,Own-child,Female,White,<=50K
51,Some-college,Not-in-family,Female,Black,<=50K
37,Bachelors,Not-in-family,Male,White,<=50K
39,HS-grad,Husband,Male,White,<=50K
27,HS-grad,Husband,Male,White,<=50K
60,Masters,Husband,Male,White,<=50K
61,Bachelors,Husband,Male,White,>50K
30,Assoc-voc,Husband,Male,White,>50K
32,9th,Unmarried,Female,White,<=50K
65,HS-grad,Husband,Male,White,>50K
47,HS-grad,Unmarried,Female,White,<=50K
54,Doctorate,Husband,Male,White,>50K
22,9th,Not-in-family,Female,White,<=50K
50,Some-college,Husband,Male,White,>50K
34,Bachelors,Husband,Male,White,>50K
27,HS-grad,Not-in-family,Female,White,<=50K
33,Assoc-voc,Husband,Male,White,>50K
46,HS-grad,Not-in-family,Male,White,<=50K
46,Masters,Husband,Male,White,>50K
50,Bachelors,Husband,Male,White,>50K
41,Prof-school,Husband,Male,White,>50K
39,HS-grad,Husband,Male,White,>50K
34,HS-grad,Husband,Male,White,<=50K
19,HS-grad,Own-child,Male,Black,<=50K
47,HS-grad,Husband,Male,White,<=50K
40,Some-college,Husband,Male,White,>50K
46,Assoc-acdm,Husband,Male,White,>50K
49,HS-grad,Husband,Male,White,>50K
22,Some-college,Not-in-family,Male,White,<=50K
42,Prof-school,Husband,Male,White,>50K
58,Some-college,Unmarried,Female,White,<=50K
25,HS-grad,Other-relative,Female,White,<=50K
31,Some-college,Husband,Male,White,>50K
76,Masters,Not-in-family,Female,White,<=50K
67,1st-4th,Not-in-family,Female,White,<=50K
50,HS-grad,Husband,Male,White,>50K
59,Some-college,Husband,Male,White,>50K
31,HS-grad,Not-in-family,Female,White,<=50K
42,Masters,Not-in-family,Female,White,>50K
38,11th,Husband,Male,White,>50K
46,Some-college,Husband,Male,White,>50K
37,Bachelors,Wife,Female,White,<=50K
26,Assoc-acdm,Husband,Male,White,>50K
41,Masters,Husband,Male,White,<=50K
58,Assoc-voc,Husband,Male,White,>50K
33,HS-grad,Husband,Male,White,>50K
25,HS-grad,Husband,Male,White,>50K
65,10th,Husband,Male,White,>50K
24,Bachelors,Not-in-family,Male,White,<=50K
19,HS-grad,Own-child,Male,White,<=50K
64,Doctorate,Not-in-family,Male,White,>50K
81,HS-grad,Husband,Male,White,<=50K
59,HS-grad,Husband,Male,White,>50K
38,HS-grad,Husband,Male,White,<=50K
54,Bachelors,Husband,Male,White,>50K
51,Bachelors,Husband,Male,White,>50K
32,Some-college,Not-in-family,Male,White,<=50K
51,HS-grad,Unmarried,Female,White,>50K
25,Some-college,Not-in-family,Male,White,<=50K
38,HS-grad,Own-child,Female,Black,<=50K
26,11th,Husband,Male,White,<=50K
44,Bachelors,Husband,Male,White,>50K
47,Some-college,Not-in-family,Female,White,<=50K
55,Some-college,Husband,Male,Black,<=50K
43,Prof-school,Not-in-family,Male,White,>50K
22,Bachelors,Not-in-family,Female,Amer-Indian-Eskimo,>50K
37,HS-grad,Unmarried,Female,Black,<=50K
40,Some-college,Husband,Male,White,>50K
27,Bachelors,Not-in-family,Male,White,<=50K
35,HS-grad,Unmarried,Male,Black,<=50K
30,Assoc-acdm,Unmarried,Female,Black,<=50K
29,HS-grad,Own-child,Female,Black,<=50K
39,HS-grad,Husband,Male,White,>50K
24,Assoc-acdm,Own-child,Male,White,<=50K
54,Bachelors,Not-in-family,Male,White,<=50K
33,Bachelors,Husband,Male,White,>50K
47,Bachelors,Husband,Male,White,<=50K
39,Assoc-voc,Husband,Male,White,<=50K
56,Some-college,Wife,Female,White,>50K
35,Bachelors,Not-in-family,Female,White,>50K
33,Some-college,Husband,Male,White,<=50K
38,Bachelors,Husband,Male,White,>50K
53,HS-grad,Husband,Male,White,>50K
43,HS-grad,Husband,Male,White,>50K
33,Assoc-voc,Husband,Male,White,<=50K
32,Some-college,Own-child,Male,White,<=50K
38,HS-grad,Wife,Female,White,<=50K
44,HS-grad,Husband,Male,White,>50K
32,Some-college,Husband,Male,White,>50K
47,Bachelors,Husband,Male,White,>50K
38,HS-grad,Not-in-family,Male,White,>50K
38,HS-grad,Husband,Male,White,<=50K
43,Bachelors,Husband,Male,White,<=50K
30,Bachelors,Husband,Male,White,>50K
34,HS-grad,Unmarried,Female,White,<=50K
36,Masters,Husband,Male,White,>50K
47,HS-grad,Husband,Male,White,>50K
43,Some-college,Husband,Male,White,>50K
44,7th-8th,Husband,Male,White,<=50K
40,HS-grad,Not-in-family,Male,White,<=50K
41,1st-4th,Husband,Male,White,>50K
26,HS-grad,Not-in-family,Male,White,>50K
45,Masters,Husband,Male,White,>50K
41,7th-8th,Husband,Male,White,<=50K
43,Assoc-voc,Other-relative,Male,White,>50K
73,HS-grad,Husband,Male,Asian-Pac-Islander,<=50K
45,HS-grad,Husband,Male,White,<=50K
45,HS-grad,Husband,Male,Asian-Pac-Islander,>50K
33,Masters,Husband,Male,White,>50K
46,Bachelors,Husband,Male,White,>50K
24,HS-grad,Husband,Male,White,<=50K
41,Bachelors,Husband,Male,Asian-Pac-Islander,>50K
46,Assoc-acdm,Husband,Male,White,>50K
33,Masters,Not-in-family,Male,White,>50K
40,Assoc-voc,Not-in-family,Male,White,>50K
48,Bachelors,Husband,Male,White,>50K
37,HS-grad,Husband,Male,White,>50K
26,HS-grad,Own-child,Male,White,<=50K
56,HS-grad,Not-in-family,Male,Black,<=50K
28,HS-grad,Wife,Female,White,<=50K
36,Bachelors,Husband,Male,White,>50K
22,Some-college,Own-child,Male,White,<=50K
37,HS-grad,Husband,Male,White,<=50K
30,Assoc-voc,Not-in-family,Male,White,<=50K
66,Some-college,Husband,Male,White,>50K
41,Some-college,Not-in-family,Female,Black,<=50K
30,HS-grad,Husband,Male,White,>50K
41,HS-grad,Husband,Male,Black,>50K
26,Some-college,Unmarried,Female,White,<=50K
41,Masters,Wife,Female,Asian-Pac-Islander,>50K
63,HS-grad,Husband,Male,White,<=50K
71,Some-college,Husband,Male,White,>50K
42,Assoc-acdm,Husband,Male,Black,<=50K
56,7th-8th,Husband,Male,White,<=50K
54,10th,Unmarried,Female,White,<=50K
38,Bachelors,Wife,Female,White,>50K
44,Bachelors,Husband,Male,Asian-Pac-Islander,>50K
51,HS-grad,Husband,Male,White,>50K
36,Some-college,Own-child,Male,White,<=50K
31,10th,Husband,Male,White,<=50K
58,HS-grad,Husband,Male,White,<=50K
51,Some-college,Husband,Male,White,>50K
45,Some-college,Not-in-family,Male,White,<=50K
50,HS-grad,Husband,Male,White,>50K
32,Some-college,Not-in-family,Male,Black,<=50K
45,Masters,Husband,Male,White,>50K
24,Some-college,Own-child,Male,White,<=50K
31,HS-grad,Not-in-family,Male,White,<=50K
54,HS-grad,Husband,Male,White,>50K
44,Bachelors,Husband,Male,White,>50K
58,HS-grad,Husband,Male,White,>50K
68,HS-grad,Husband,Male,White,>50K
64,HS-grad,Husband,Male,White,>50K
37,Some-college,Husband,Male,Asian-Pac-Islander,<=50K
42,HS-grad,Husband,Male,White,<=50K
38,Bachelors,Not-in-family,Male,Other,<=50K
29,Bachelors,Not-in-family,Male,White,<=50K
68,Masters,Husband,Male,White,<=50K
51,HS-grad,Husband,Male,White,<=50K
27,HS-grad,Not-in-family,Female,White,>50K
35,Assoc-acdm,Own-child,Female,Black,<=50K
43,HS-grad,Not-in-family,Female,Black,<=50K
31,HS-grad,Unmarried,Male,White,>50K
43,HS-grad,Not-in-family,Female,White,<=50K
51,5th-6th,Husband,Male,Black,<=50K
71,Bachelors,Husband,Male,White,>50K
46,HS-grad,Unmarried,Female,White,<=50K
54,Assoc-acdm,Unmarried,Female,White,<=50K
41,Bachelors,Husband,Male,White,>50K
49,Some-college,Husband,Male,White,>50K
36,Some-college,Husband,Male,White,>50K
53,Masters,Husband,Male,White,>50K
51,HS-grad,Not-in-family,Female,White,<=50K
41,Masters,Not-in-family,Female,White,<=50K
18,11th,Own-child,Male,White,<=50K
19,Some-college,Own-child,Male,White,<=50K
60,11th,Not-in-family,Male,White,<=50K
52,HS-grad,Not-in-family,Male,White,>50K
28,Bachelors,Not-in-family,Female,White,>50K
42,Assoc-acdm,Husband,Male,Black,>50K
32,Some-college,Not-in-family,Female,White,<=50K
36,Bachelors,Husband,Male,White,>50K
45,Some-college,Husband,Male,White,>50K
45,Some-college,Husband,Male,White,>50K
37,11th,Not-in-family,Male,White,>50K
33,HS-grad,Not-in-family,Male,White,<=50K
62,HS-grad,Husband,Male,Asian-Pac-Islander,<=50K
21,Some-college,Own-child,Male,White,<=50K
45,Assoc-acdm,Husband,Male,White,>50K
35,Bachelors,Wife,Female,White,>50K
21,10th,Husband,Male,White,<=50K
38,HS-grad,Other-relative,Male,White,>50K
46,Assoc-acdm,Husband,Male,White,<=50K
65,HS-grad,Not-in-family,Male,White,<=50K
49,10th,Husband,Male,Black,>50K
22,10th,Unmarried,Male,White,<=50K
34,Assoc-voc,Husband,Male,White,<=50K
26,Bachelors,Not-in-family,Male,White,<=50K
48,Some-college,Unmarried,Male,White,>50K
38,Prof-school,Husband,Male,White,>50K
43,HS-grad,Husband,Male,White,<=50K
52,Bachelors,Husband,Male,White,>50K
32,Assoc-voc,Husband,Male,White,<=50K
64,12th,Husband,Male,White,<=50K
37,Bachelors,Husband,Male,White,>50K
33,HS-grad,Husband,Male,White,<=50K
48,HS-grad,Unmarried,Female,White,<=50K
32,Bachelors,Husband,Male,White,>50K
31,Bachelors,Not-in-family,Male,White,>50K
45,9th,Husband,Male,White,>50K
57,HS-grad,Husband,Male,White,>50K
39,Some-college,Unmarried,Male,White,>50K
40,Bachelors,Husband,Male,White,>50K
48,Prof-school,Husband,Male,White,>50K
61,12th,Unmarried,Female,White,<=50K
38,Prof-school,Husband,Male,White,>50K
56,12th,Husband,Male,White,>50K
25,HS-grad,Own-child,Male,Black,<=50K
46,Some-college,Not-in-family,Male,White,<=50K
53,Some-college,Husband,Male,White,>50K
54,10th,Unmarried,Male,Black,>50K
29,Some-college,Husband,Male,White,<=50K
39,HS-grad,Own-child,Male,White,>50K
19,Some-college,Own-child,Male,White,<=50K
33,HS-grad,Husband,Male,White,>50K
41,HS-grad,Unmarried,Female,Black,<=50K
46,Prof-school,Husband,Male,Asian-Pac-Islander,>50K
38,Prof-school,Not-in-family,Female,Asian-Pac-Islander,>50K
62,HS-grad,Husband,Male,White,>50K
61,10th,Not-in-family,Female,Black,<=50K
61,7th-8th,Husband,Male,White,>50K
31,9th,Husband,Male,White,<=50K
50,HS-grad,Husband,Male,White,<=50K
33,5th-6th,Husband,Male,White,<=50K
42,Prof-school,Husband,Male,White,>50K
28,Assoc-voc,Not-in-family,Female,White,<=50K
58,HS-grad,Husband,Male,White,>50K
39,Prof-school,Husband,Male,Asian-Pac-Islander,>50K
21,Some-college,Own-child,Female,White,<=50K
26,9th,Husband,Male,White,<=50K
43,Assoc-acdm,Not-in-family,Male,White,<=50K
32,Bachelors,Husband,Male,Asian-Pac-Islander,>50K
52,Bachelors,Husband,Male,White,>50K
45,Masters,Husband,Male,White,>50K
39,Masters,Husband,Male,White,>50K
36,Assoc-voc,Husband,Male,White,>50K
18,Some-college,Own-child,Male,White,<=50K
53,Bachelors,Husband,Male,White,>50K
29,Bachelors,Husband,Male,White,<=50K
23,Some-college,Own-child,Female,Asian-Pac-Islander,<=50K
28,7th-8th,Other-relative,Male,White,<=50K
25,HS-grad,Own-child,Female,White,<=50K
35,Masters,Not-in-family,Male,White,>50K
17,10th,Own-child,Female,Amer-Indian-Eskimo,<=50K
46,Some-college,Husband,Male,White,>50K
62,7th-8th,Husband,Male,White,<=50K
71,Bachelors,Husband,Male,White,>50K
51,HS-grad,Not-in-family,Female,White,<=50K
41,Some-college,Husband,Male,White,>50K
59,Masters,Wife,Female,Asian-Pac-Islander,<=50K
49,HS-grad,Husband,Male,White,>50K
24,Some-college,Not-in-family,Male,White,<=50K
23,Bachelors,Own-child,Male,Asian-Pac-Islander,<=50K
39,HS-grad,Husband,Male,White,>50K
50,Prof-school,Husband,Male,White,>50K
19,9th,Other-relative,Male,White,<=50K
31,Bachelors,Not-in-family,Female,White,>50K
33,Bachelors,Husband,Male,White,>50K
23,Bachelors,Own-child,Female,White,<=50K
58,Some-college,Husband,Male,White,>50K
25,Bachelors,Not-in-family,Female,White,<=50K
31,Doctorate,Husband,Male,White,>50K
43,Some-college,Husband,Male,White,<=50K
41,Some-college,Wife,Female,White,<=50K
42,Some-college,Not-in-family,Male,White,<=50K
51,HS-grad,Wife,Female,White,<=50K
52,Some-college,Wife,Female,Asian-Pac-Islander,>50K
42,HS-grad,Husband,Male,White,<=50K
36,9th,Husband,Male,White,<=50K
36,HS-grad,Husband,Male,White,>50K
37,Bachelors,Husband,Male,White,>50K
27,Bachelors,Other-relative,Male,White,<=50K
40,Masters,Not-in-family,Female,White,>50K
54,HS-grad,Husband,Male,White,>50K
90,Bachelors,Wife,Female,White,>50K
66,9th,Husband,Male,White,>50K
38,Some-college,Unmarried,Female,Amer-Indian-Eskimo,>50K
26,HS-grad,Other-relative,Male,Asian-Pac-Islander,>50K
34,Some-college,Not-in-family,Female,White,<=50K
23,Some-college,Not-in-family,Male,White,<=50K
52,HS-grad,Husband,Male,White,>50K
23,Some-college,Own-child,Female,White,<=50K
29,Masters,Husband,Male,White,<=50K
40,11th,Other-relative,Male,White,<=50K
64,HS-grad,Husband,Male,White,<=50K
50,Masters,Not-in-family,Male,White,>50K
57,HS-grad,Husband,Male,White,>50K
37,HS-grad,Husband,Male,White,>50K
65,Assoc-voc,Husband,Male,White,>50K
27,HS-grad,Husband,Male,White,<=50K
44,9th,Not-in-family,Male,White,<=50K
19,HS-grad,Own-child,Male,White,<=50K
27,HS-grad,Not-in-family,Female,White,<=50K
43,HS-grad,Husband,Male,White,>50K
34,HS-grad,Not-in-family,Male,White,<=50K
74,Some-college,Husband,Male,White,>50K
51,Masters,Husband,Male,White,>50K
50,HS-grad,Husband,Male,White,>50K
25,1st-4th,Not-in-family,Female,White,<=50K
54,HS-grad,Unmarried,Male,White,>50K
24,Assoc-voc,Unmarried,Female,White,<=50K
40,Some-college,Not-in-family,Female,Black,<=50K
22,HS-grad,Not-in-family,Female,White,<=50K
30,Bachelors,Not-in-family,Male,White,<=50K
36,Some-college,Unmarried,Female,White,<=50K
